filename,width,height,class,xmin,ymin,xmax,ymax
Baby-Blacktip-reef-sharks-growing-up-in-the-shallow-bays-of-Koh-Tao-1-_1493_jpg.rf.fed7635ac813d9415a1f7240be4a2f55.jpg,640,640,Blacktip,0,0,640,640
GH030152_21663_jpg.rf.fdc8627eed6bd7771d5e9d9326142569.jpg,640,640,Blacktip,7,0,640,640
GH050241_26844_jpg.rf.fe1aa778c09433b648c9582dbcdd52ac.jpg,640,640,Blacktip,0,0,640,640
GH030150_36973_jpg.rf.fee5831be23177183ed7f94c6e1a29df.jpg,640,640,Blacktip,0,0,640,640
GH030152_38598_jpg.rf.fe7dc624460785418c7c399681bdd1c7.jpg,640,640,Blacktip,0,0,640,640
Baby-Blacktip-reef-sharks-growing-up-in-the-shallow-bays-of-Koh-Tao-1-_874_jpg.rf.fe8e88b012f8146ffe512d84a2422411.jpg,640,640,Blacktip,0,0,640,640
GH030199_33390_jpg.rf.ff5e73b8cc43771d853068a1d3a93570.jpg,640,640,Blacktip,0,0,640,640
GH030150_32163_jpg.rf.fed00d94f5f366c7d3fd9f6604ae4eb5.jpg,640,640,Blacktip,0,0,640,640
Baby-Blacktip-reef-sharks-growing-up-in-the-shallow-bays-of-Koh-Tao-1-_1476_jpg.rf.fde5b09e57d5ef1da9868e185e4324b9.jpg,640,640,Blacktip,0,0,640,640
00000123_jpg.rf.fe26a9d46ff341872ebdd4a86e2efd8f.jpg,640,640,Blacktip,0,0,640,640
GH030199_8492_jpg.rf.fec3cc4db93501846760d303a08a070a.jpg,640,640,Blacktip,0,0,640,640
GH030150_19743_jpg.rf.fe4ecd9b71c2ab9c69f6296acb6a3d39.jpg,640,640,Blacktip,0,0,640,640
GH030152_11871_jpg.rf.ff4e2099b309f4ca3f6632d381107dc4.jpg,640,640,Blacktip,0,0,640,640
GH030199_14573_jpg.rf.ff38b9e7f469a227e72583a97f503898.jpg,640,640,Blacktip,0,0,640,640
GH030150_36973_jpg.rf.fe69234f1be27a242b8541513517fada.jpg,640,640,Blacktip,0,0,640,640
GH030138_841_jpg.rf.fec0a4558a0c6a16b4b7f335ae485c1d.jpg,640,640,Blacktip,0,0,640,640
GH050152_11229_jpg.rf.fee4e64aa1cd92fe28f103dc8a6f8bbc.jpg,640,640,Blacktip,0,0,640,640
Baby-Blacktip-reef-sharks-growing-up-in-the-shallow-bays-of-Koh-Tao-1-_1476_jpg.rf.fe509b61e5b701d8395f36dba1523bf3.jpg,640,640,Blacktip,5,7,640,640
GH030199_18285_jpg.rf.fe4efbfc555d0f558441bb1f4fae9fec.jpg,640,640,Blacktip,7,0,640,640
GH030152_30544_jpg.rf.fff68a302e7469021be7776eea2dd410.jpg,640,640,Blacktip,0,0,640,640
GH030150_38722_jpg.rf.ffee97cbabe0e9eba4d571621b7ef2ac.jpg,640,640,Blacktip,0,0,640,640
GH030152_30544_jpg.rf.fdcbfaf53f493a6b94090445ffe838c6.jpg,640,640,Blacktip,0,0,640,640
GH020144_23347_jpg.rf.ff6f95a96dcb2528598fae13d4af3aca.jpg,640,640,Blacktip,12,0,640,640
GH040150_25109_jpg.rf.ff10d6da0a3a112cf7a813c256ae267d.jpg,640,640,Blacktip,0,0,640,640
GH030150_24400_jpg.rf.ffe34fab4e3d8726230d0216f687df82.jpg,640,640,Blacktip,0,0,640,640
GH040150_34441_jpg.rf.fe7de59d086955d64084b6d632c08f30.jpg,640,640,Blacktip,0,7,640,640
Baby-Blacktip-reef-sharks-growing-up-in-the-shallow-bays-of-Koh-Tao-1-_603_jpg.rf.fe462659b22698fab688c38d216c362f.jpg,640,640,Blacktip,0,0,640,640
GH030150_9256_jpg.rf.fff10cb069678618e9784af109290d96.jpg,640,640,Blacktip,0,0,640,640
GH020144_36764_jpg.rf.ff5258886db1e8923b25b84c48de09ae.jpg,640,640,Blacktip,0,0,640,640
GH020150_41963_jpg.rf.3cf5bdd59f413b528bc91f73e655e93c.jpg,640,640,Blacktip,0,0,640,640
GH030150_36572_jpg.rf.3da4c3312c13715ddfce0eec2c933e7b.jpg,640,640,Blacktip,0,0,640,640
GH030152_17911_jpg.rf.3e3d90b78dbc1c02c65aedfb72d09837.jpg,640,640,Blacktip,0,7,640,640
GH040150_31800_jpg.rf.3db5fcc511a0cf76d08342a900e68b12.jpg,640,640,Blacktip,0,0,640,640
GH040150_28569_jpg.rf.3e362c94d16d65a1cbdae8cac26affe7.jpg,640,640,Blacktip,0,0,640,640
